name,description,price
Oil Filter,High-performance oil filter compatible with most domestic and import vehicles,8.99
Brake Pads,Ceramic front brake pads with low dust and quiet operation,34.99
Air Filter,Engine air filter for improved airflow and fuel efficiency,12.99
Spark Plugs,Iridium spark plugs for better ignition and fuel economy set of 4,24.99
Alternator,Remanufactured alternator with 12 month warranty fits most V6 engines,89.99
Radiator Hose,Upper radiator hose heat and pressure resistant silicone construction,18.99
Serpentine Belt,OEM replacement serpentine belt durable rubber construction,22.99
Headlight Bulb,Halogen headlight bulb H11 fits most 2010 and newer vehicles pack of 2,14.99
Battery Terminal,Heavy duty battery terminal connectors corrosion resistant set of 2,9.99
Windshield Wipers,All weather windshield wiper blades 20 inch driver and passenger set,19.99
